

AAPL Financials(Income Statement/Balance Sheet):

Income Statement for AAPL                                                        2023-09-30      2022-09-30      2021-09-30      2020-09-30
Prepaid Assets                                                    NaN            NaN    993000000.0    756000000.0
Receivables                                              2224000000.0   2065000000.0   1878000000.0   1398000000.0
Accounts Receivable                                      2224000000.0   2065000000.0   1878000000.0   1398000000.0
Allowance For Doubtful Accounts Receivable                -16000000.0    -23000000.0    -16000000.0    -21000000.0
Gross Accounts Receivable                                2240000000.0   2088000000.0   1894000000.0   1419000000.0
Cash Cash Equivalents And Short Term Investments         7842000000.0   6096000000.0   5798000000.0   5992000000.0
Other Short Term Investments                              701000000.0   1860000000.0   1954000000.0   1514000000.0
Cash And Cash Equivalents                                7141000000.0   4236000000.0   3844000000.0   4478000000.0
Cash Equivalents                                         6523000000.0   3579000000.0   3094000000.0   3629000000.0
Cash Financial                                            618000000.0    657000000.0    750000000.0    849000000.0



IBM Financials(Income Statement/Balance Sheet):

Income Statement for IBM                                                           2023-12-31     2022-12-31     2021-12-31     2020-12-31
Tax Effect Of Unusual Items                           -7037054.085155     33810000.0      3432000.0            0.0
Tax Rate For Calcs                                           0.135328           0.21          0.026           0.27
Normalized EBITDA                                       14745000000.0   7013000000.0  12277000000.0  10555000000.0
Total Unusual Items                                       -52000000.0    161000000.0    132000000.0   -100000000.0
Total Unusual Items Excluding Goodwill                    -52000000.0    161000000.0    132000000.0   -100000000.0
Net Income From Continuing Operation Net Minori...       7514000000.0   1783000000.0   4712000000.0   3932000000.0
Reconciled Depreciation                                  4396000000.0   4802000000.0   6417000000.0   6695000000.0
Reconciled Cost Of Revenue                              24159000000.0  24102000000.0  25865000000.0  24314000000.0
EBITDA                                                  14693000000.0   7174000000.0  12409000000.0  10555000000.0
EBIT                                                    10297000000.0   2372000000.0   5992000000.0   3860000000.0
Net Interest Income                                      -937000000.0  -1054000000.0  -1103000000.0  -1288000000.0
Interest Expense                                         1607000000.0   1216000000.0   1155000000.0   1288000000.0
Interest Income                                           670000000.0    162000000.0     52000000.0    105000000.0
Normalized Income                                   7558962945.914845   1655810000.0   4583432000.0   3932000000.0
Net Income From Continuing And Discontinued Ope...       7502000000.0   1640000000.0   5742000000.0   5590000000.0
Total Expenses                                          52486000000.0  52375000000.0  50486000000.0  50517000000.0
Diluted Average Shares                                    922073828.0    912269062.0    904641001.0    896600000.0
Basic Average Shares                                      911210319.0    902664190.0    895990771.0    890300000.0
Diluted EPS                                                      8.14            1.8           6.35           6.23
Basic EPS                                                        8.23           1.82           6.41           6.28
Diluted NI Availto Com Stockholders                      7502000000.0   1639000000.0   5743000000.0   5590000000.0
Average Dilution Earnings                                         0.0            0.0            0.0     -2000000.0
Net Income Common Stockholders                           7502000000.0   1639000000.0   5743000000.0   5590000000.0
Net Income                                               7502000000.0   1640000000.0   5742000000.0   5590000000.0
Net Income Including Noncontrolling Interests            7502000000.0   1640000000.0   5742000000.0   5590000000.0
Net Income Discontinuous Operations                       -12000000.0   -143000000.0   1030000000.0   1658000000.0
Net Income Continuous Operations                         7514000000.0   1783000000.0   4712000000.0   3932000000.0
Tax Provision                                            1176000000.0   -626000000.0    124000000.0  -1360000000.0
Pretax Income                                            8690000000.0   1156000000.0   4837000000.0   2572000000.0
Other Income Expense                                      253000000.0  -5944000000.0   -925000000.0   -802000000.0
Other Non Operating Income Expenses                       305000000.0  -6105000000.0  -1057000000.0   -802000000.0
Special Income Charges                                      8000000.0     21000000.0     35000000.0   -109000000.0
Gain On Sale Of Ppe                                         8000000.0     21000000.0     35000000.0     41000000.0
Write Off                                                         NaN            NaN            NaN    109000000.0
Gain On Sale Of Security                                  -60000000.0    140000000.0    132000000.0      9000000.0
Net Non Operating Interest Income Expense                -937000000.0  -1054000000.0  -1103000000.0  -1288000000.0
Interest Expense Non Operating                           1607000000.0   1216000000.0   1155000000.0   1288000000.0
Interest Income Non Operating                             670000000.0    162000000.0     52000000.0    105000000.0
Operating Income                                         9374000000.0   8154000000.0   6865000000.0   4662000000.0
Operating Expense                                       24926000000.0  24533000000.0  24621000000.0  26203000000.0
Other Operating Expenses                                 -851000000.0   -643000000.0   -612000000.0   -620000000.0
Provision For Doubtful Accounts                            10000000.0     64000000.0    -71000000.0     83000000.0
Depreciation Amortization Depletion Income Stat...        995000000.0   1062000000.0   1116000000.0   1123000000.0
Depreciation And Amortization In Income Statement         995000000.0   1062000000.0   1116000000.0   1123000000.0
Amortization                                              995000000.0   1062000000.0   1116000000.0   1123000000.0
Amortization Of Intangibles Income Statement              995000000.0   1062000000.0   1116000000.0   1123000000.0
Research And Development                                 6775000000.0   6567000000.0   6488000000.0   6262000000.0
Selling General And Administration                      17997000000.0  17483000000.0  18745000000.0  20561000000.0
Selling And Marketing Expense                            1237000000.0   1330000000.0   1413000000.0   1542000000.0
General And Administrative Expense                      16760000000.0  16153000000.0  16286000000.0  20308000000.0
Other Gand A                                            15706000000.0  15537000000.0  15550000000.0  16800000000.0
Salaries And Wages                                       1054000000.0    616000000.0    736000000.0   3508000000.0
Gross Profit                                            34300000000.0  32687000000.0  31486000000.0  30865000000.0
Cost Of Revenue                                         27560000000.0  27842000000.0  25865000000.0  24314000000.0
Total Revenue                                           61860000000.0  60530000000.0  57351000000.0  55179000000.0
Operating Revenue                                       61860000000.0  60530000000.0  57351000000.0  55179000000.0

Balance Sheet for IBM                                                                2023-12-31      2022-12-31      2021-12-31      2020-12-31
Treasury Shares Number                                        1351897514.0    1351024943.0    1350509249.0    1350315580.0
Ordinary Shares Number                                         915013646.0     906091977.0     898068599.0     892653424.0
Share Issued                                                  2266911160.0    2257116920.0    2248577848.0    2242969004.0
Net Debt                                                     43479000000.0   43063000000.0   45053000000.0   48145000000.0
Total Debt                                                   59935000000.0   54013000000.0   55139000000.0   65088000000.0
Tangible Book Value                                         -48681000000.0  -45189000000.0  -49253000000.0  -46907000000.0
Invested Capital                                             79080000000.0   72893000000.0   70604000000.0   81930000000.0
Working Capital                                              -1214000000.0   -2387000000.0   -4080000000.0    -704000000.0
Net Tangible Assets                                         -48681000000.0  -45189000000.0  -49253000000.0  -46907000000.0
Capital Lease Obligations                                     3388000000.0    3064000000.0    3436000000.0    3755000000.0
Common Stock Equity                                          22533000000.0   21944000000.0   18901000000.0   20597000000.0
Total Capitalization                                         72654000000.0   68133000000.0   63818000000.0   74814000000.0
Total Equity Gross Minority Interest                         22613000000.0   22021000000.0   18996000000.0   20726000000.0
Minority Interest                                               80000000.0      77000000.0      95000000.0     129000000.0
Stockholders Equity                                          22533000000.0   21944000000.0   18901000000.0   20597000000.0
Other Equity Interest                                           -1000000.0             NaN      -1000000.0             NaN
Gains Losses Not Affecting Retained Earnings                -18761000000.0  -16740000000.0  -23234000000.0  -29337000000.0
Other Equity Adjustments                                    -18761000000.0  -16740000000.0  -23234000000.0  -29337000000.0
Treasury Stock                                              169624000000.0  169484000000.0  169392000000.0  169339000000.0
Retained Earnings                                           151276000000.0  149825000000.0  154209000000.0  162717000000.0
Capital Stock                                                59643000000.0   58343000000.0   57319000000.0   56556000000.0
Common Stock                                                 59643000000.0   58343000000.0   57319000000.0   56556000000.0
Total Liabilities Net Minority Interest                     112628000000.0  105222000000.0  113005000000.0  135245000000.0
Total Non Current Liabilities Net Minority Interest          78506000000.0   73717000000.0   79386000000.0   95376000000.0
Other Non Current Liabilities                                 1164000000.0    1206000000.0    1295000000.0    1272000000.0
Liabilities Heldfor Sale Non Current                                   NaN             NaN             0.0    3317000000.0
Derivative Product Liabilities                                 299000000.0     488000000.0     103000000.0      40000000.0
Employee Benefits                                            12553000000.0   11206000000.0   16480000000.0   19204000000.0
Non Current Pension And Other Postretirement Benefit Plans   12245000000.0   10903000000.0   16121000000.0   18819000000.0
Non Current Accrued Expenses                                   206000000.0     243000000.0     253000000.0     279000000.0
Tradeand Other Payables Non Current                                    NaN      90000000.0      72000000.0     253000000.0
Non Current Deferred Liabilities                              4679000000.0    5791000000.0    7533000000.0    8716000000.0
Non Current Deferred Revenue                                  3533000000.0    3499000000.0    3577000000.0    3758000000.0
Non Current Deferred Taxes Liabilities                        1146000000.0    2292000000.0    3956000000.0    4958000000.0
Long Term Debt And Capital Lease Obligation                  52689000000.0   48379000000.0   47379000000.0   56937000000.0
Long Term Capital Lease Obligation                            2568000000.0    2190000000.0    2462000000.0    2720000000.0
Long Term Debt                                               50121000000.0   46189000000.0   44917000000.0   54217000000.0
Long Term Provisions                                          6916000000.0    6404000000.0    6271000000.0    5358000000.0
Current Liabilities                                          34122000000.0   31505000000.0   33619000000.0   39869000000.0
Other Current Liabilities                                        1000000.0       1000000.0       1000000.0    3819000000.0
Current Deferred Liabilities                                 13451000000.0   12032000000.0   12518000000.0   11980000000.0
Current Deferred Revenue                                     13451000000.0   12032000000.0   12518000000.0   11980000000.0
Current Debt And Capital Lease Obligation                     7246000000.0    5634000000.0    7760000000.0    8151000000.0
Current Capital Lease Obligation                               820000000.0     874000000.0     974000000.0    1035000000.0
Current Debt                                                  6426000000.0    4760000000.0    6786000000.0    7116000000.0
Other Current Borrowings                                      6426000000.0    4760000000.0    6786000000.0    7116000000.0
Commercial Paper                                                       NaN             NaN             NaN             0.0
Pensionand Other Post Retirement Benefit Plans Current        3501000000.0    3481000000.0    3204000000.0    3056000000.0
Payables And Accrued Expenses                                 9923000000.0   10358000000.0   10136000000.0   12863000000.0
Current Accrued Expenses                                      3521000000.0    4111000000.0    3892000000.0    5632000000.0
Payables                                                      6402000000.0    6247000000.0    6244000000.0    7231000000.0
Total Tax Payable                                             2270000000.0    2196000000.0    2289000000.0    3198000000.0
Accounts Payable                                              4132000000.0    4051000000.0    3955000000.0    4033000000.0
Total Assets                                                135241000000.0  127243000000.0  132001000000.0  155971000000.0
Total Non Current Assets                                    102332000000.0   98126000000.0  102462000000.0  116806000000.0
Other Non Current Assets                                      1626000000.0    1617000000.0    1823000000.0   13300000000.0
Defined Pension Benefit                                                NaN    8236000000.0    9850000000.0     237000000.0
Non Current Prepaid Assets                                    7506000000.0    8236000000.0    9850000000.0    8565000000.0
Non Current Deferred Assets                                   7498000000.0    7122000000.0    8294000000.0    9554000000.0
Non Current Deferred Taxes Assets                             6656000000.0    6256000000.0    7370000000.0    8404000000.0
Non Current Accounts Receivable                               5766000000.0    5806000000.0    5425000000.0    7509000000.0
Financial Assets                                                       NaN             NaN      40000000.0     151000000.0
Investments And Advances                                               NaN    1617000000.0    1823000000.0     216000000.0
Other Investments                                                      NaN    1617000000.0    1823000000.0      46000000.0
Long Term Equity Investment                                            NaN             NaN     159000000.0     170000000.0
Investments In Other Ventures Under Equity Method                      NaN             NaN     159000000.0     170000000.0
Goodwill And Other Intangible Assets                         71214000000.0   67133000000.0   68154000000.0   67504000000.0
Other Intangible Assets                                      11036000000.0   11184000000.0   12511000000.0   13739000000.0
Goodwill                                                     60178000000.0   55949000000.0   55643000000.0   53765000000.0
Net PPE                                                       8722000000.0    8212000000.0    8916000000.0    9770000000.0
Accumulated Depreciation                                    -12621000000.0  -13361000000.0  -14390000000.0  -13896000000.0
Gross PPE                                                    21343000000.0   21573000000.0   23306000000.0   23666000000.0
Other Properties                                              6605000000.0    6039000000.0    6444000000.0    6920000000.0
Machinery Furniture Equipment                                 9223000000.0    9643000000.0   10589000000.0   10105000000.0
Buildings And Improvements                                    5333000000.0    5678000000.0    6049000000.0    6407000000.0
Land And Improvements                                          182000000.0     213000000.0     224000000.0     234000000.0
Properties                                                             0.0             0.0             0.0             0.0
Current Assets                                               32908000000.0   29118000000.0   29539000000.0   39165000000.0
Other Current Assets                                          2639000000.0    2610000000.0    3466000000.0    2089000000.0
Assets Held For Sale Current                                   692000000.0     939000000.0     793000000.0    3001000000.0
Current Deferred Assets                                        998000000.0     967000000.0    1097000000.0    1018000000.0
Restricted Cash                                                 21000000.0     103000000.0     307000000.0     463000000.0
Prepaid Assets                                                         NaN             NaN    3466000000.0    2089000000.0
Inventory                                                     1161000000.0    1552000000.0    1649000000.0    1812000000.0
Other Inventories                                                      NaN             NaN      -1000000.0             NaN
Finished Goods                                                  78000000.0     158000000.0     208000000.0     163000000.0
Work In Process                                               1083000000.0    1394000000.0    1442000000.0    1649000000.0
Receivables                                                  13956000000.0   14209000000.0   14977000000.0   16994000000.0
Other Receivables                                             6742000000.0    7668000000.0    8223000000.0   11204000000.0
Accounts Receivable                                           7214000000.0    6541000000.0    6754000000.0    5790000000.0
Allowance For Doubtful Accounts Receivable                    -192000000.0    -233000000.0    -218000000.0    -260000000.0
Gross Accounts Receivable                                     7406000000.0    6774000000.0    6972000000.0    6050000000.0
Cash Cash Equivalents And Short Term Investments             13441000000.0    8738000000.0    7250000000.0   13788000000.0
Other Short Term Investments                                   373000000.0     852000000.0     600000000.0     600000000.0
Cash And Cash Equivalents                                    13068000000.0    7886000000.0    6650000000.0   13188000000.0



QCOM Financials(Income Statement/Balance Sheet):

Income Statement for QCOM                                                       2023-09-30     2022-09-30     2021-09-30     2020-09-30
Tax Effect Of Unusual Items                             -500000.0    -41860000.0     99720000.0    -10440000.0
Tax Rate For Calcs                                           0.01           0.13           0.12           0.09
Normalized EBITDA                                    9996000000.0  17572000000.0  11584000000.0   7830000000.0
Total Unusual Items                                   -50000000.0   -322000000.0    831000000.0   -116000000.0
Total Unusual Items Excluding Goodwill                -50000000.0   -322000000.0    831000000.0   -116000000.0
Net Income From Continuing Operation Net Minori...   7339000000.0  12986000000.0   9043000000.0   5198000000.0
Reconciled Depreciation                              1809000000.0   1762000000.0   1582000000.0   1393000000.0
Reconciled Cost Of Revenue                          15869000000.0  18635000000.0  14262000000.0   9255000000.0
EBITDA                                               9946000000.0  17250000000.0  12415000000.0   7714000000.0
EBIT                                                 8137000000.0  15488000000.0  10833000000.0   6321000000.0
Net Interest Income                                  -381000000.0   -399000000.0   -476000000.0   -446000000.0
Interest Expense                                      694000000.0    490000000.0    559000000.0    602000000.0
Interest Income                                       313000000.0     91000000.0     83000000.0    156000000.0
Normalized Income                                    7388500000.0  13266140000.0   8311720000.0   5303560000.0
Net Income From Continuing And Discontinued Ope...   7232000000.0  12936000000.0   9043000000.0   5198000000.0
Total Expenses                                      28032000000.0  28340000000.0  23777000000.0  17276000000.0
Total Operating Income As Reported                   7788000000.0  15860000000.0   9789000000.0   6255000000.0
Diluted Average Shares                               1126000000.0   1137000000.0   1149000000.0   1149000000.0
Basic Average Shares                                 1117000000.0   1123000000.0   1131000000.0   1135000000.0
Diluted EPS                                                  6.42          11.37           7.87           4.52
Basic EPS                                                    6.47          11.52           7.99           4.58
Diluted NI Availto Com Stockholders                  7232000000.0  12936000000.0   9043000000.0   5198000000.0
Net Income Common Stockholders                       7232000000.0  12936000000.0   9043000000.0   5198000000.0
Net Income                                           7232000000.0  12936000000.0   9043000000.0   5198000000.0
Net Income Including Noncontrolling Interests        7232000000.0  12936000000.0   9043000000.0   5198000000.0
Net Income Discontinuous Operations                  -107000000.0    -50000000.0            0.0            0.0
Net Income Continuous Operations                     7339000000.0  12986000000.0   9043000000.0   5198000000.0
Tax Provision                                         104000000.0   2012000000.0   1231000000.0    521000000.0
Pretax Income                                        7443000000.0  14998000000.0  10274000000.0   5719000000.0
Other Income Expense                                   36000000.0   -463000000.0    961000000.0    -90000000.0
Other Non Operating Income Expenses                    86000000.0   -141000000.0    130000000.0     47000000.0
Special Income Charges                               -132000000.0    -47000000.0    -33000000.0   -405000000.0
Write Off                                             132000000.0     47000000.0     33000000.0    405000000.0
Earnings From Equity Interest                                 NaN     -7000000.0     13000000.0    -21000000.0
Gain On Sale Of Security                               82000000.0   -275000000.0    864000000.0    289000000.0
Net Non Operating Interest Income Expense            -381000000.0   -399000000.0   -476000000.0   -446000000.0
Interest Expense Non Operating                        694000000.0    490000000.0    559000000.0    602000000.0
Interest Income Non Operating                         313000000.0     91000000.0     83000000.0    156000000.0
Operating Income                                     7788000000.0  15860000000.0   9789000000.0   6255000000.0
Operating Expense                                   12163000000.0   9705000000.0   9515000000.0   8021000000.0
Other Operating Expenses                              862000000.0  -1059000000.0            NaN    -28000000.0
Research And Development                             8818000000.0   8194000000.0   7176000000.0   5975000000.0
Selling General And Administration                   2483000000.0   2570000000.0   2339000000.0   2074000000.0
Gross Profit                                        19951000000.0  25565000000.0  19304000000.0  14276000000.0
Cost Of Revenue                                     15869000000.0  18635000000.0  14262000000.0   9255000000.0
Total Revenue                                       35820000000.0  44200000000.0  33566000000.0  23531000000.0
Operating Revenue                                   35820000000.0  44200000000.0  33566000000.0  23531000000.0

Balance Sheet for QCOM                                                        2023-09-30     2022-09-30     2021-09-30     2020-09-30
Ordinary Shares Number                                1114000000.0   1121000000.0   1125000000.0   1131000000.0
Share Issued                                          1114000000.0   1121000000.0   1125000000.0   1131000000.0
Net Debt                                              6948000000.0  12709000000.0   8629000000.0   9019000000.0
Total Debt                                           15398000000.0  15482000000.0  15745000000.0  15726000000.0
Tangible Book Value                                   9531000000.0   5623000000.0   1246000000.0  -1899000000.0
Invested Capital                                     36979000000.0  33495000000.0  25695000000.0  21803000000.0
Working Capital                                      12836000000.0   8858000000.0   8124000000.0   9847000000.0
Net Tangible Assets                                   9531000000.0   5623000000.0   1246000000.0  -1899000000.0
Common Stock Equity                                  21581000000.0  18013000000.0   9950000000.0   6077000000.0
Total Capitalization                                 36065000000.0  31550000000.0  23651000000.0  21303000000.0
Total Equity Gross Minority Interest                 21581000000.0  18013000000.0   9950000000.0   6077000000.0
Stockholders Equity                                  21581000000.0  18013000000.0   9950000000.0   6077000000.0
Gains Losses Not Affecting Retained Earnings           358000000.0    -22000000.0    128000000.0    207000000.0
Other Equity Adjustments                               358000000.0    -22000000.0    128000000.0    207000000.0
Retained Earnings                                    20733000000.0  17840000000.0   9822000000.0   5284000000.0
Capital Stock                                          490000000.0    195000000.0            0.0    586000000.0
Common Stock                                           490000000.0    195000000.0            0.0    586000000.0
Preferred Stock                                                0.0            0.0            NaN            0.0
Total Liabilities Net Minority Interest              29459000000.0  31001000000.0  31290000000.0  29517000000.0
Total Non Current Liabilities Net Minority Interest  19831000000.0  19135000000.0  19339000000.0  20845000000.0
Other Non Current Liabilities                         4130000000.0   3863000000.0   3561000000.0   2986000000.0
Liabilities Heldfor Sale Non Current                    38000000.0    119000000.0            0.0            NaN
Tradeand Other Payables Non Current                   1080000000.0   1472000000.0   1713000000.0   1872000000.0
Non Current Deferred Liabilities                        99000000.0    144000000.0    364000000.0    761000000.0
Non Current Deferred Revenue                            99000000.0    144000000.0    364000000.0    761000000.0
Long Term Debt And Capital Lease Obligation          14484000000.0  13537000000.0  13701000000.0  15226000000.0
Long Term Debt                                       14484000000.0  13537000000.0  13701000000.0  15226000000.0
Current Liabilities                                   9628000000.0  11866000000.0  11951000000.0   8672000000.0
Other Current Liabilities                             3107000000.0   3636000000.0   2630000000.0   2267000000.0
Current Deferred Liabilities                           293000000.0    369000000.0    612000000.0    568000000.0
Current Deferred Revenue                               293000000.0    369000000.0    612000000.0    568000000.0
Current Debt And Capital Lease Obligation              914000000.0   1945000000.0   2044000000.0    500000000.0
Current Debt                                           914000000.0   1945000000.0   2044000000.0    500000000.0
Other Current Borrowings                               914000000.0   1446000000.0   1544000000.0            NaN
Commercial Paper                                               0.0    499000000.0    500000000.0    500000000.0
Payables And Accrued Expenses                         5314000000.0   5916000000.0   6665000000.0   5337000000.0
Current Accrued Expenses                              1685000000.0   1486000000.0   3053000000.0   2540000000.0
Payables                                              3629000000.0   4430000000.0   3612000000.0   2797000000.0
Total Tax Payable                                     1717000000.0    634000000.0    862000000.0    549000000.0
Income Tax Payable                                    1717000000.0    634000000.0    862000000.0    549000000.0
Accounts Payable                                      1912000000.0   3796000000.0   2750000000.0   2248000000.0
Total Assets                                         51040000000.0  49014000000.0  41240000000.0  35594000000.0
Total Non Current Assets                             28576000000.0  28290000000.0  21165000000.0  17075000000.0
Other Non Current Assets                              8174000000.0   8929000000.0   6311000000.0   4037000000.0
Non Current Deferred Assets                           3310000000.0   1803000000.0   1591000000.0   1351000000.0
Non Current Deferred Taxes Assets                     3310000000.0   1803000000.0   1591000000.0   1351000000.0
Goodwill And Other Intangible Assets                 12050000000.0  12390000000.0   8704000000.0   7976000000.0
Other Intangible Assets                               1408000000.0   1882000000.0   1458000000.0   1653000000.0
Goodwill                                             10642000000.0  10508000000.0   7246000000.0   6323000000.0
Net PPE                                               5042000000.0   5168000000.0   4559000000.0   3711000000.0
Accumulated Depreciation                             -7668000000.0  -6602000000.0  -5895000000.0  -5134000000.0
Gross PPE                                            12710000000.0  11770000000.0  10454000000.0   8845000000.0
Leases                                                 485000000.0    369000000.0    374000000.0    320000000.0
Construction In Progress                               226000000.0    330000000.0    269000000.0    134000000.0
Machinery Furniture Equipment                         9981000000.0   9134000000.0   7997000000.0   6612000000.0
Buildings And Improvements                            1849000000.0   1767000000.0   1642000000.0   1606000000.0
Land And Improvements                                  169000000.0    170000000.0    172000000.0    173000000.0
Properties                                                     0.0            0.0            0.0            0.0
Current Assets                                       22464000000.0  20724000000.0  20075000000.0  18519000000.0
Other Current Assets                                  1194000000.0   1625000000.0    854000000.0    704000000.0
Assets Held For Sale Current                           341000000.0    733000000.0            0.0            NaN
Inventory                                             6422000000.0   6341000000.0   3228000000.0   2598000000.0
Finished Goods                                        2150000000.0   2791000000.0   1486000000.0   1349000000.0
Work In Process                                       4096000000.0   3329000000.0   1475000000.0   1155000000.0
Raw Materials                                          176000000.0    221000000.0    267000000.0     94000000.0
Receivables                                           3183000000.0   5643000000.0   3579000000.0   4003000000.0
Other Receivables                                     1260000000.0   1468000000.0   1365000000.0   1316000000.0
Accounts Receivable                                   1923000000.0   4175000000.0   2214000000.0   2687000000.0
Cash Cash Equivalents And Short Term Investments     11324000000.0   6382000000.0  12414000000.0  11214000000.0
Other Short Term Investments                          2874000000.0   3609000000.0   5298000000.0   4507000000.0
Cash And Cash Equivalents                             8450000000.0   2773000000.0   7116000000.0   6707000000.0



DHR Financials(Income Statement/Balance Sheet):

Income Statement for DHR                                                       2023-12-31     2022-12-31     2021-12-31     2020-12-31
Tax Effect Of Unusual Items                           -42217000.0    -30894000.0     48900000.0     84483000.0
Tax Rate For Calcs                                          0.163          0.114          0.163          0.189
Normalized EBITDA                                    7755000000.0   9753000000.0   8504000000.0   6098000000.0
Total Unusual Items                                  -259000000.0   -271000000.0    300000000.0    447000000.0
Total Unusual Items Excluding Goodwill               -259000000.0   -271000000.0    300000000.0    447000000.0
Net Income From Continuing Operation Net Minori...   4221000000.0   6328000000.0   5447000000.0   3646000000.0
Reconciled Depreciation                              2166000000.0   2132000000.0   2062000000.0   1775000000.0
Reconciled Cost Of Revenue                           9856000000.0  10455000000.0   9563000000.0   9809000000.0
EBITDA                                               7496000000.0   9482000000.0   8804000000.0   6545000000.0
EBIT                                                 5330000000.0   7350000000.0   6742000000.0   4770000000.0
Net Interest Income                                    17000000.0   -163000000.0   -220000000.0   -204000000.0
Interest Expense                                      286000000.0    204000000.0    231000000.0    275000000.0
Interest Income                                       303000000.0     41000000.0     11000000.0     71000000.0
Normalized Income                                    4437783000.0   6568106000.0   5195900000.0   3283483000.0
Net Income From Continuing And Discontinued Ope...   4764000000.0   7209000000.0   6433000000.0   3646000000.0
Total Expenses                                      18611000000.0  19107000000.0  18415000000.0  18053000000.0
Total Operating Income As Reported                   5202000000.0   7536000000.0   6377000000.0   4231000000.0
Diluted Average Shares                                743100000.0    737100000.0    736800000.0    718700000.0
Basic Average Shares                                  736500000.0    725100000.0    714600000.0    706200000.0
Diluted EPS                                                  6.38           9.66           8.61           4.89
Basic EPS                                                    6.44            9.8           8.77           4.97
Diluted NI Availto Com Stockholders                  4743000000.0   7103000000.0   6269000000.0   3510000000.0
Average Dilution Earnings                                     NaN            NaN            NaN      1000000.0
Net Income Common Stockholders                       4743000000.0   7103000000.0   6269000000.0   3510000000.0
Preferred Stock Dividends                              21000000.0    106000000.0    164000000.0    136000000.0
Net Income                                           4764000000.0   7209000000.0   6433000000.0   3646000000.0
Net Income Including Noncontrolling Interests        4764000000.0   7209000000.0   6433000000.0   3646000000.0
Net Income Discontinuous Operations                   543000000.0    881000000.0    986000000.0            0.0
Net Income Continuous Operations                     4221000000.0   6328000000.0   5447000000.0   3646000000.0
Tax Provision                                         823000000.0    818000000.0   1064000000.0    849000000.0
Pretax Income                                        5044000000.0   7146000000.0   6511000000.0   4495000000.0
Other Income Expense                                 -252000000.0   -227000000.0    344000000.0    468000000.0
Other Non Operating Income Expenses                     7000000.0     44000000.0     44000000.0     21000000.0
Special Income Charges                               -108000000.0    -91000000.0   -101000000.0    429000000.0
Gain On Sale Of Business                                      0.0            0.0      5000000.0    455000000.0
Other Special Charges                                         NaN            NaN     96000000.0     26000000.0
Write Off                                             108000000.0     91000000.0     10000000.0            NaN
Gain On Sale Of Security                             -151000000.0   -180000000.0    401000000.0     18000000.0
Net Non Operating Interest Income Expense              17000000.0   -163000000.0   -220000000.0   -204000000.0
Interest Expense Non Operating                        286000000.0    204000000.0    231000000.0    275000000.0
Interest Income Non Operating                         303000000.0     41000000.0     11000000.0     71000000.0
Operating Income                                     5279000000.0   7536000000.0   6387000000.0   4231000000.0
Operating Expense                                    8755000000.0   8652000000.0   8852000000.0   8244000000.0
Other Operating Expenses                                      NaN            NaN    547000000.0            NaN
Research And Development                             1503000000.0   1528000000.0   1498000000.0   1348000000.0
Selling General And Administration                   7252000000.0   7124000000.0   6807000000.0   6896000000.0
Gross Profit                                        14034000000.0  16188000000.0  15239000000.0  12475000000.0
Cost Of Revenue                                      9856000000.0  10455000000.0   9563000000.0   9809000000.0
Total Revenue                                       23890000000.0  26643000000.0  24802000000.0  22284000000.0
Operating Revenue                                   23890000000.0  26643000000.0  24802000000.0  22284000000.0

Balance Sheet for DHR                                                               2023-12-31     2022-12-31     2021-12-31     2020-12-31
Treasury Shares Number                                        141300000.0    141000000.0    140700000.0    140300000.0
Preferred Shares Number                                         1720000.0      1720000.0      3370000.0      3370000.0
Ordinary Shares Number                                        739200000.0    728300000.0    715000000.0    711000000.0
Share Issued                                                  880500000.0    869300000.0    855700000.0    851300000.0
Net Debt                                                    12538000000.0  13682000000.0  19590000000.0  15169000000.0
Total Debt                                                  19536000000.0  20616000000.0  23272000000.0  22178000000.0
Tangible Book Value                                         -8868000000.0  -8683000000.0 -22128000000.0 -20204000000.0
Invested Capital                                            71888000000.0  68091000000.0  64075000000.0  57702000000.0
Working Capital                                              5663000000.0   7494000000.0   3508000000.0   6400000000.0
Net Tangible Assets                                         -8868000000.0  -7015000000.0 -18860000000.0 -16936000000.0
Capital Lease Obligations                                    1134000000.0    939000000.0   1096000000.0    974000000.0
Common Stock Equity                                         53486000000.0  48414000000.0  41899000000.0  36498000000.0
Preferred Stock Equity                                                NaN   1668000000.0   3268000000.0   3268000000.0
Total Capitalization                                        70193000000.0  69168000000.0  67335000000.0  60959000000.0
Total Equity Gross Minority Interest                        53490000000.0  50090000000.0  45177000000.0  39777000000.0
Minority Interest                                               4000000.0      8000000.0     10000000.0     11000000.0
Stockholders Equity                                         53486000000.0  50082000000.0  45167000000.0  39766000000.0
Gains Losses Not Affecting Retained Earnings                -1748000000.0  -2872000000.0  -1027000000.0   -368000000.0
Other Equity Adjustments                                    -1748000000.0  -2872000000.0  -1027000000.0   -368000000.0
Retained Earnings                                           41074000000.0  39205000000.0  32827000000.0  27159000000.0
Additional Paid In Capital                                  14151000000.0  12072000000.0  10090000000.0   9698000000.0
Capital Stock                                                   9000000.0   1677000000.0   3277000000.0   3277000000.0
Common Stock                                                    9000000.0      9000000.0      9000000.0      9000000.0
Preferred Stock                                                       0.0   1668000000.0   3268000000.0   3268000000.0
Total Liabilities Net Minority Interest                     30998000000.0  34260000000.0  38007000000.0  36384000000.0
